text,classification 1,classification 2
Putangina kakauwi ko lang kinakabahan na kaagad si acoe,Negative statement w/o bullying intentions,Not bully
@IronJSpider Ingat you din bebe qouh. &lt;3 tangina mo hahahaha I hope di masuspend ang social media!!! kasi I'm sure… https://t.co/3u86QRgX8J,Negative statement w/o bullying intentions,Not bully
Putangina niyo mga ISIS,Negative statement with bullying intentions,Bully
Tangina nyo maute group tangina nyo sagad mga piftyquatillion de puta kayo times,Negative statement with bullying intentions,Bully
@arianasus_ tangina mo,Negative statement with bullying intentions,Bully
makatrigger jud ning mga people na gnaquestion asa ang presidente mga ulol mo pauli na sya hulata mga piniste mo,Negative statement with bullying intentions,Bully
@leahnavarro ang bobo mo nmn po! Ikaw na po ang pinakabobong pilipinong nakilala ko sa social media. Bobo skills level 99999,Negative statement with bullying intentions,Bully
a b c d e fuck you https://t.co/Kfjhfok1r1,Negative statement with bullying intentions,Bully
ano kasi pre e ayoko ng ginagago tropa ko at gusto kong sabihin na tangina mo hipocrito ka,Negative statement with bullying intentions,Bully
"ISIS tangina niyo. Goblin, Grim Reaper asa naman taena.",Negative statement with bullying intentions,Bully
Mas nakakagago ka. Tangina? Pabibo. https://t.co/G1Snopx9aN,Negative statement with bullying intentions,Bully
Putangina ina papeymus kang gago ka. Manahimik ka puta https://t.co/IyJriP7yFc,Negative statement with bullying intentions,Bully
And putangina ninyong mga anti Duterte fanatics who always make a cute spin just to make this his fault eh putangina nyo,Negative statement with bullying intentions,Bully
Putangina ninyong mga Anti Duterte mendicants. You are not helping. Tangina nyong lahat mga IQ below sea level,Negative statement with bullying intentions,Bully
"that ""ambobo mo parin kelangan mo nang magdisappear sa world"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> touché <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Negative statement with bullying intentions,Bully
Sakit sa buot ah. Kalaw-ay lang batyagon sang na feel sang families sang napatay kag biktima kag sundalo nga ga defend ddto sa Marawi <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>,Neutral statement,Not bully
tangina mo jepoy nanakot ka pa.,Negative statement with bullying intentions,Bully
@balongajm @jeziliciousss sorry bobo kase ako<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>,Negative statement w/o bullying intentions,Not bully
@Dhaycelator suntukan sa isis putangina ka daycel aa HAHAHAHAHA,Negative statement w/o bullying intentions,Not bully
@chezkadennise22 By height daw yung pagpatay nila kaya una mas maliit sorry,Negative statement w/o bullying intentions,Not bully
Panay kapokpokan alam sa social media tangina ka hampasin kita ng kawali e,Negative statement with bullying intentions,Bully
@leahnavarro Puro ka satsat hayop ka pisti ka ulol ka bugok ka. Karma visit you soon.,Negative statement with bullying intentions,Bully
fuck you 7AM calltime hahahuhu,Negative statement w/o bullying intentions,Not bully
i cant even understand why you have to kill people like would that make u happy? was that really satisfying? well fuck you <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>,Negative statement with bullying intentions,Bully
Tangina back to tanga mode na naman,Negative statement with bullying intentions,Bully
Di pako nakakamove-on sa ex ko tas broken nanaman ako dito kay ano pucha hahahahaha tanga mo Rica,Negative statement with bullying intentions,Bully
Gago kaba potangina ka stupid idiot motherfucker you die son of a bitch tangina mo hijo de pota despacito you twat prick tanga bobo roar,Negative statement with bullying intentions,Bully
@KyleCollantes di nga ako pinapansin dun ko pa sasabihin tanga ka din e no HAHAHAHHAHAHAHAHAHAHAHAHAH,Negative statement w/o bullying intentions,Not bully
Ang gago mo po <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><U+270C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/8xPnvgfpBj,Negative statement with bullying intentions,Bully
Subukan mo pang lumapit sa kanya tarantado ka makikita mo.,Negative statement with bullying intentions,Bully
"She was like"" bitch my eyeliner can stab u to death and i was like"" bitch your fats can choke you to death""<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+0088>",Negative statement with bullying intentions,Bully
"@Real_Sarah_G Nag ingon ko na ""tanga ka po masyado"" hahaha tas ginlock nako niya <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Negative statement w/o bullying intentions,Not bully
tangina mo https://t.co/kfBVU6eZFO,Negative statement with bullying intentions,Bully
isa kapa tangina mo din https://t.co/OEt4eBABWU,Negative statement with bullying intentions,Bully
"sineryoso kita, ginago moko. tangina mo",Negative statement with bullying intentions,Bully
"Huwag masyado magmagaling. Kaya ka nasabihang ""fuck your opinion"" ni Mito eh.

#TiradaNiSlickMaster",Negative statement with bullying intentions,Bully
"""gawin ko ba yon""

""pwede kung tanga ka""

""gago HAHHAHA""

""tanga ka naman kay ano eh""

HHAHAHAHAHAHAH DI Q KINAYA<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",Negative statement w/o bullying intentions,Not bully
putangina ka https://t.co/1hsuXlRjaZ,Negative statement with bullying intentions,Bully
@RdCanet goodluck tangina mo wag ka titira sa labas postehan mo,Negative statement w/o bullying intentions,Not bully
I dont want martial law pero puta ka? https://t.co/UwVQhEZ9ap,Negative statement w/o bullying intentions,Not bully
Believe me I would appeal to God to shut your whore mouth,Negative statement with bullying intentions,Bully
Putangina mo. <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> https://t.co/fiUDxxH9AJ,Negative statement with bullying intentions,Bully
"Di ko na alam anong klaseng presidente meron tayo, okay lang bombahin ang Marawi?¿ gago ka ba?¿",Negative statement with bullying intentions,Bully
Bobo ka ba or bobo ka talaga https://t.co/PENcr3CXgt,Negative statement with bullying intentions,Bully
2017 na tanga kapa rin,Negative statement with bullying intentions,Bully
Putangina kyrie kapit puta ka,Negative statement with bullying intentions,Bully
sipon fuck you po,Negative statement w/o bullying intentions,Not bully
"papagawa ka sakin tapos bayad mo ""pasuyo na lang"" tapos mag e expect ka ng quality output. rush pa. tangina mo pala",Negative statement with bullying intentions,Bully
Maputalan ka sana ng titi gago ka,Negative statement with bullying intentions,Bully
Daming problema ng Pilipinas dadagdag ka pang gago ka eh,Negative statement with bullying intentions,Bully
Calamities and terrorism are different. Pwede bang mag declare ng martial law while bumabagyo? Ang tanga mo po. https://t.co/NlgzQrO59N,Negative statement with bullying intentions,Bully
@sieelcabahug patay kang yoongi doh stay in ur lane daw AHAHAHHA,Neutral statement,Not bully
"Dense. Apathetic pieces of shit. I have no more words, fuck you all mga walay buot https://t.co/hjHPFOBFhj",Negative statement with bullying intentions,Bully
Oh san na yung sinasabi mong di kami magtatagal haha bobo kapa sa bobo,Negative statement with bullying intentions,Bully
yan kase tangina ka hahahaha,Negative statement w/o bullying intentions,Not bully
promise babalik ka din sakin putangina ka antay ka lang,Negative statement w/o bullying intentions,Not bully
Muntanga kami ni bebe q kanina jusq hahahahaha parang batang naglalaro sa ulan<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,Neutral statement,Not bully
@Fionnuts bobo ka,Negative statement with bullying intentions,Bully
kingina mo delete comment ka palang gago ka e,Negative statement with bullying intentions,Bully
@nutmegmarfori tangina mo!! Wag kang mangealam sa post ng iba!! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A0><ed><U+00A0><U+00BD><ed><U+00B8><U+00A0>,Negative statement with bullying intentions,Bully
@BeautifulJaaaay @nicolleengomez Hahahaha fuck you. Saturday nalang UDD tayo libre kita isang bote.,Negative statement w/o bullying intentions,Not bully
"Naadik ako sa kanta ng ""fuck you very very muuuucchhh"" @vylettecruzx HAHAHAHAHAHAHAH",Neutral statement,Not bully
@soulgeneral11 gago ka i mean kung sino sino pinagqqoute mo pati si pau <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> inanto sapakin kaya kita babahain ka talaga,Negative statement with bullying intentions,Bully
tangina kadiri sumakit ulo ko dun,Negative statement w/o bullying intentions,Not bully
